Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.8472527472527472,0.5272919760785556,0.5260821309655938,0.72,0.7627777777777778,0.7704918032786885,0.6923076923076923,0.8285714285714286,0.75,0.7837837837837838,0.7604395604395604,"[0.7837837837837838, 0.75]","[0.8285714285714286, 0.6923076923076923]","[0.8055555555555556, 0.72]","[0.8285714285714286, 0.6923076923076923]"
Gradient Boosting,2,1,1.0,1.0,0.7395604395604396,0.3967032967032967,0.3967032967032966,0.6538461538461539,0.6983516483516483,0.7049180327868853,0.6538461538461539,0.7428571428571429,0.6538461538461539,0.7428571428571429,0.6983516483516483,"[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]"
Gradient Boosting,3,1,1.0,1.0,0.8527472527472527,0.4238531229230863,0.4216397099832683,0.6530612244897959,0.7100922560805143,0.7213114754098361,0.6153846153846154,0.8,0.6956521739130435,0.7368421052631579,0.7076923076923077,"[0.7368421052631579, 0.6956521739130435]","[0.8, 0.6153846153846154]","[0.7671232876712328, 0.6530612244897959]","[0.8, 0.6153846153846154]"
Gradient Boosting,4,1,1.0,1.0,0.8472527472527472,0.42205206252912253,0.415774647887324,0.6382978723404256,0.7058156028368794,0.7213114754098361,0.5769230769230769,0.8285714285714286,0.7142857142857143,0.725,0.7027472527472527,"[0.725, 0.7142857142857143]","[0.8285714285714286, 0.5769230769230769]","[0.7733333333333333, 0.6382978723404256]","[0.8285714285714286, 0.5769230769230769]"
Gradient Boosting,5,1,1.0,1.0,0.7805429864253394,0.27234134490097706,0.264018691588785,0.5333333333333333,0.6266666666666667,0.65,0.46153846153846156,0.7941176470588235,0.631578947368421,0.6585365853658537,0.6278280542986425,"[0.6585365853658537, 0.631578947368421]","[0.7941176470588235, 0.46153846153846156]","[0.72, 0.5333333333333333]","[0.7941176470588235, 0.46153846153846156]"
Gradient Boosting,6,2,1.0,1.0,0.8054945054945055,0.41198085970162107,0.40840517241379304,0.6785714285714286,0.702922077922078,0.7049180327868853,0.7307692307692307,0.6857142857142857,0.6333333333333333,0.7741935483870968,0.7082417582417582,"[0.7741935483870968, 0.6333333333333333]","[0.6857142857142857, 0.7307692307692307]","[0.7272727272727273, 0.6785714285714286]","[0.6857142857142857, 0.7307692307692307]"
Gradient Boosting,7,2,1.0,1.0,0.7076923076923077,0.32967032967032966,0.3296703296703296,0.6153846153846154,0.6648351648351649,0.6721311475409836,0.6153846153846154,0.7142857142857143,0.6153846153846154,0.7142857142857143,0.6648351648351649,"[0.7142857142857143, 0.6153846153846154]","[0.7142857142857143, 0.6153846153846154]","[0.7142857142857143, 0.6153846153846154]","[0.7142857142857143, 0.6153846153846154]"
Gradient Boosting,8,2,1.0,1.0,0.8626373626373627,0.508580617312947,0.46833236490412555,0.6341463414634146,0.7244805781391147,0.7540983606557377,0.5,0.9428571428571428,0.8666666666666667,0.717391304347826,0.7214285714285714,"[0.717391304347826, 0.8666666666666667]","[0.9428571428571428, 0.5]","[0.8148148148148148, 0.6341463414634146]","[0.9428571428571428, 0.5]"
Gradient Boosting,9,2,1.0,1.0,0.7373626373626373,0.3915754759064379,0.39067702552719197,0.64,0.6950000000000001,0.7049180327868853,0.6153846153846154,0.7714285714285715,0.6666666666666666,0.7297297297297297,0.6934065934065934,"[0.7297297297297297, 0.6666666666666666]","[0.7714285714285715, 0.6153846153846154]","[0.75, 0.64]","[0.7714285714285715, 0.6153846153846154]"
Gradient Boosting,10,2,1.0,1.0,0.8450226244343891,0.5909278263416963,0.5852534562211982,0.75,0.7916666666666667,0.8,0.6923076923076923,0.8823529411764706,0.8181818181818182,0.7894736842105263,0.7873303167420814,"[0.7894736842105263, 0.8181818181818182]","[0.8823529411764706, 0.6923076923076923]","[0.8333333333333334, 0.75]","[0.8823529411764706, 0.6923076923076923]"
