Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.8472527472527472,0.5272919760785556,0.5260821309655938,0.72,0.7627777777777778,0.7704918032786885,0.6923076923076923,0.8285714285714286,0.75,0.7837837837837838,0.7604395604395604,"[0.7837837837837838, 0.75]","[0.8285714285714286, 0.6923076923076923]","[0.8055555555555556, 0.72]","[0.8285714285714286, 0.6923076923076923]"
Gradient Boosting,2,1,1.0,1.0,0.7065934065934065,0.42763083596500834,0.4273881833241303,0.6666666666666666,0.7136150234741784,0.7213114754098361,0.6538461538461539,0.7714285714285715,0.68,0.75,0.7126373626373627,"[0.75, 0.68]","[0.7714285714285715, 0.6538461538461539]","[0.7605633802816901, 0.6666666666666666]","[0.7714285714285715, 0.6538461538461539]"
Gradient Boosting,3,1,1.0,1.0,0.7747252747252747,0.2792896329177484,0.2709163346613547,0.5333333333333333,0.6303030303030304,0.6557377049180327,0.46153846153846156,0.8,0.631578947368421,0.6666666666666666,0.6307692307692307,"[0.6666666666666666, 0.631578947368421]","[0.8, 0.46153846153846156]","[0.7272727272727273, 0.5333333333333333]","[0.8, 0.46153846153846156]"
Gradient Boosting,4,1,1.0,1.0,0.8043956043956044,0.32967032967032966,0.3296703296703296,0.6153846153846154,0.6648351648351649,0.6721311475409836,0.6153846153846154,0.7142857142857143,0.6153846153846154,0.7142857142857143,0.6648351648351649,"[0.7142857142857143, 0.6153846153846154]","[0.7142857142857143, 0.6153846153846154]","[0.7142857142857143, 0.6153846153846154]","[0.7142857142857143, 0.6153846153846154]"
Gradient Boosting,5,1,1.0,1.0,0.754524886877828,0.3805211953235953,0.37209302325581395,0.6086956521739131,0.6827262044653349,0.7,0.5384615384615384,0.8235294117647058,0.7,0.7,0.6809954751131222,"[0.7, 0.7]","[0.8235294117647058, 0.5384615384615384]","[0.7567567567567568, 0.6086956521739131]","[0.8235294117647058, 0.5384615384615384]"
Gradient Boosting,6,2,1.0,1.0,0.7791208791208791,0.366524297708418,0.3663203936577364,0.6415094339622641,0.6830735575608422,0.6885245901639344,0.6538461538461539,0.7142857142857143,0.6296296296296297,0.7352941176470589,0.6840659340659341,"[0.7352941176470589, 0.6296296296296297]","[0.7142857142857143, 0.6538461538461539]","[0.7246376811594203, 0.6415094339622641]","[0.7142857142857143, 0.6538461538461539]"
Gradient Boosting,7,2,1.0,1.0,0.7802197802197802,0.374337864342576,0.37249593936112624,0.6545454545454545,0.6854816824966079,0.6885245901639344,0.6923076923076923,0.6857142857142857,0.6206896551724138,0.75,0.689010989010989,"[0.75, 0.6206896551724138]","[0.6857142857142857, 0.6923076923076923]","[0.7164179104477612, 0.6545454545454545]","[0.6857142857142857, 0.6923076923076923]"
Gradient Boosting,8,2,1.0,1.0,0.8516483516483516,0.4315994320621039,0.3974433468913423,0.5853658536585366,0.68774465522433,0.7213114754098361,0.46153846153846156,0.9142857142857143,0.8,0.6956521739130435,0.6879120879120879,"[0.6956521739130435, 0.8]","[0.9142857142857143, 0.46153846153846156]","[0.7901234567901234, 0.5853658536585366]","[0.9142857142857143, 0.46153846153846156]"
Gradient Boosting,9,2,1.0,1.0,0.7373626373626374,0.4594337259924967,0.45837957824639286,0.68,0.7288888888888889,0.7377049180327869,0.6538461538461539,0.8,0.7083333333333334,0.7567567567567568,0.726923076923077,"[0.7567567567567568, 0.7083333333333334]","[0.8, 0.6538461538461539]","[0.7777777777777778, 0.68]","[0.8, 0.6538461538461539]"
Gradient Boosting,10,2,1.0,1.0,0.7805429864253394,0.45133857602476013,0.4470046082949308,0.6666666666666666,0.7222222222222222,0.7333333333333333,0.6153846153846154,0.8235294117647058,0.7272727272727273,0.7368421052631579,0.7194570135746606,"[0.7368421052631579, 0.7272727272727273]","[0.8235294117647058, 0.6153846153846154]","[0.7777777777777778, 0.6666666666666666]","[0.8235294117647058, 0.6153846153846154]"
