Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.787037037037037,0.4758668672668006,0.4716981132075472,0.68,0.7347368421052631,0.746031746031746,0.6296296296296297,0.8333333333333334,0.7391304347826086,0.75,0.7314814814814815,"[0.75, 0.7391304347826086]","[0.8333333333333334, 0.6296296296296297]","[0.7894736842105263, 0.68]","[0.8333333333333334, 0.6296296296296297]"
Gradient Boosting,2,1,1.0,1.0,0.7860082304526749,0.4872443245213109,0.4862385321100918,0.7142857142857143,0.7428571428571429,0.746031746031746,0.7407407407407407,0.75,0.6896551724137931,0.7941176470588235,0.7453703703703703,"[0.7941176470588235, 0.6896551724137931]","[0.75, 0.7407407407407407]","[0.7714285714285715, 0.7142857142857143]","[0.75, 0.7407407407407407]"
Gradient Boosting,3,1,1.0,1.0,0.841995841995842,0.572187001570628,0.5718766335598536,0.7450980392156863,0.7858823529411765,0.7936507936507936,0.7307692307692307,0.8378378378378378,0.76,0.8157894736842105,0.7843035343035343,"[0.8157894736842105, 0.76]","[0.8378378378378378, 0.7307692307692307]","[0.8266666666666667, 0.7450980392156863]","[0.8378378378378378, 0.7307692307692307]"
Gradient Boosting,4,1,1.0,1.0,0.7047817047817048,0.2349150407716129,0.23373876255949244,0.5306122448979592,0.6159554730983303,0.6349206349206349,0.5,0.7297297297297297,0.5652173913043478,0.675,0.6148648648648649,"[0.675, 0.5652173913043478]","[0.7297297297297297, 0.5]","[0.7012987012987013, 0.5306122448979592]","[0.7297297297297297, 0.5]"
Gradient Boosting,5,1,1.0,1.0,0.875,0.6025641025641025,0.6025641025641026,0.7692307692307693,0.8012820512820513,0.8064516129032258,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.8333333333333334,0.8012820512820513,"[0.8333333333333334, 0.7692307692307693]","[0.8333333333333334, 0.7692307692307693]","[0.8333333333333334, 0.7692307692307693]","[0.8333333333333334, 0.7692307692307693]"
Gradient Boosting,6,2,1.0,1.0,0.7191358024691359,0.37406213470512495,0.36363636363636354,0.5957446808510638,0.6776191758685699,0.6984126984126984,0.5185185185185185,0.8333333333333334,0.7,0.6976744186046512,0.6759259259259259,"[0.6976744186046512, 0.7]","[0.8333333333333334, 0.5185185185185185]","[0.759493670886076, 0.5957446808510638]","[0.8333333333333334, 0.5185185185185185]"
Gradient Boosting,7,2,1.0,1.0,0.73559670781893,0.2512960169793548,0.25116279069767444,0.5660377358490566,0.6254846213491858,0.6349206349206349,0.5555555555555556,0.6944444444444444,0.5769230769230769,0.6756756756756757,0.625,"[0.6756756756756757, 0.5769230769230769]","[0.6944444444444444, 0.5555555555555556]","[0.684931506849315, 0.5660377358490566]","[0.6944444444444444, 0.5555555555555556]"
Gradient Boosting,8,2,1.0,1.0,0.8388773388773388,0.33279047611583396,0.32978723404255317,0.5833333333333334,0.6634615384615385,0.6825396825396826,0.5384615384615384,0.7837837837837838,0.6363636363636364,0.7073170731707317,0.661122661122661,"[0.7073170731707317, 0.6363636363636364]","[0.7837837837837838, 0.5384615384615384]","[0.7435897435897436, 0.5833333333333334]","[0.7837837837837838, 0.5384615384615384]"
Gradient Boosting,9,2,1.0,1.0,0.8534303534303534,0.5062861220478683,0.5060115002613695,0.7058823529411765,0.7529411764705882,0.7619047619047619,0.6923076923076923,0.8108108108108109,0.72,0.7894736842105263,0.7515592515592515,"[0.7894736842105263, 0.72]","[0.8108108108108109, 0.6923076923076923]","[0.8, 0.7058823529411765]","[0.8108108108108109, 0.6923076923076923]"
Gradient Boosting,10,2,1.0,1.0,0.8258547008547008,0.5061195626653521,0.5058448459086079,0.7169811320754716,0.7528567632208344,0.7580645161290323,0.7307692307692307,0.7777777777777778,0.7037037037037037,0.8,0.7542735042735043,"[0.8, 0.7037037037037037]","[0.7777777777777778, 0.7307692307692307]","[0.7887323943661971, 0.7169811320754716]","[0.7777777777777778, 0.7307692307692307]"
Gradient Boosting,11,3,1.0,1.0,0.8076131687242798,0.4228913005279302,0.42201834862385323,0.6785714285714286,0.7107142857142857,0.7142857142857143,0.7037037037037037,0.7222222222222222,0.6551724137931034,0.7647058823529411,0.712962962962963,"[0.7647058823529411, 0.6551724137931034]","[0.7222222222222222, 0.7037037037037037]","[0.7428571428571429, 0.6785714285714286]","[0.7222222222222222, 0.7037037037037037]"
Gradient Boosting,12,3,1.0,1.0,0.8960905349794238,0.5118745001228026,0.4976076555023923,0.6808510638297872,0.7454888230541341,0.7619047619047619,0.5925925925925926,0.8888888888888888,0.8,0.7441860465116279,0.7407407407407407,"[0.7441860465116279, 0.8]","[0.8888888888888888, 0.5925925925925926]","[0.810126582278481, 0.6808510638297872]","[0.8888888888888888, 0.5925925925925926]"
Gradient Boosting,13,3,1.0,1.0,0.7702702702702703,0.3254867161527589,0.3239652529381707,0.6181818181818182,0.6612035851472471,0.6666666666666666,0.6538461538461539,0.6756756756756757,0.5862068965517241,0.7352941176470589,0.6647609147609148,"[0.7352941176470589, 0.5862068965517241]","[0.6756756756756757, 0.6538461538461539]","[0.704225352112676, 0.6181818181818182]","[0.6756756756756757, 0.6538461538461539]"
