Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.8373626373626374,0.42205206252912253,0.415774647887324,0.6382978723404256,0.7058156028368794,0.7213114754098361,0.5769230769230769,0.8285714285714286,0.7142857142857143,0.725,0.7027472527472527,"[0.725, 0.7142857142857143]","[0.8285714285714286, 0.5769230769230769]","[0.7733333333333333, 0.6382978723404256]","[0.8285714285714286, 0.5769230769230769]"
Gradient Boosting,2,1,1.0,1.0,0.6945054945054945,0.26263736263736265,0.2626373626373626,0.5769230769230769,0.6313186813186813,0.639344262295082,0.5769230769230769,0.6857142857142857,0.5769230769230769,0.6857142857142857,0.6313186813186813,"[0.6857142857142857, 0.5769230769230769]","[0.6857142857142857, 0.5769230769230769]","[0.6857142857142857, 0.5769230769230769]","[0.6857142857142857, 0.5769230769230769]"
Gradient Boosting,3,1,1.0,1.0,0.7582417582417582,0.35087226992607884,0.3403528742174161,0.5777777777777777,0.6655122655122655,0.6885245901639344,0.5,0.8285714285714286,0.6842105263157895,0.6904761904761905,0.6642857142857144,"[0.6904761904761905, 0.6842105263157895]","[0.8285714285714286, 0.5]","[0.7532467532467533, 0.5777777777777777]","[0.8285714285714286, 0.5]"
Gradient Boosting,4,1,1.0,1.0,0.7582417582417582,0.3881769827181142,0.3845291479820627,0.625,0.6908783783783784,0.7049180327868853,0.5769230769230769,0.8,0.6818181818181818,0.717948717948718,0.6884615384615385,"[0.717948717948718, 0.6818181818181818]","[0.8, 0.5769230769230769]","[0.7567567567567568, 0.625]","[0.8, 0.5769230769230769]"
Gradient Boosting,5,1,1.0,1.0,0.7047511312217195,0.2000383329803637,0.1939252336448598,0.4888888888888889,0.5911111111111111,0.6166666666666667,0.4230769230769231,0.7647058823529411,0.5789473684210527,0.6341463414634146,0.5938914027149321,"[0.6341463414634146, 0.5789473684210527]","[0.7647058823529411, 0.4230769230769231]","[0.6933333333333334, 0.4888888888888889]","[0.7647058823529411, 0.4230769230769231]"
Gradient Boosting,6,2,1.0,1.0,0.775824175824176,0.3456725946836821,0.3426724137931034,0.6428571428571429,0.66991341991342,0.6721311475409836,0.6923076923076923,0.6571428571428571,0.6,0.7419354838709677,0.6747252747252748,"[0.7419354838709677, 0.6]","[0.6571428571428571, 0.6923076923076923]","[0.696969696969697, 0.6428571428571429]","[0.6571428571428571, 0.6923076923076923]"
Gradient Boosting,7,2,1.0,1.0,0.6758241758241759,0.21274169005533006,0.2095774647887324,0.5106382978723404,0.6019858156028368,0.6229508196721312,0.46153846153846156,0.7428571428571429,0.5714285714285714,0.65,0.6021978021978023,"[0.65, 0.5714285714285714]","[0.7428571428571429, 0.46153846153846156]","[0.6933333333333334, 0.5106382978723404]","[0.7428571428571429, 0.46153846153846156]"
Gradient Boosting,8,2,1.0,1.0,0.8527472527472527,0.5411120011626038,0.5063583815028901,0.6666666666666666,0.7458333333333333,0.7704918032786885,0.5384615384615384,0.9428571428571428,0.875,0.7333333333333333,0.7406593406593407,"[0.7333333333333333, 0.875]","[0.9428571428571428, 0.5384615384615384]","[0.825, 0.6666666666666666]","[0.9428571428571428, 0.5384615384615384]"
Gradient Boosting,9,2,1.0,1.0,0.7384615384615384,0.3967032967032967,0.3967032967032966,0.6538461538461539,0.6983516483516483,0.7049180327868853,0.6538461538461539,0.7428571428571429,0.6538461538461539,0.7428571428571429,0.6983516483516483,"[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]"
Gradient Boosting,10,2,1.0,1.0,0.8144796380090498,0.5570706251171438,0.548611111111111,0.723404255319149,0.7726610317691636,0.7833333333333333,0.6538461538461539,0.8823529411764706,0.8095238095238095,0.7692307692307693,0.7680995475113122,"[0.7692307692307693, 0.8095238095238095]","[0.8823529411764706, 0.6538461538461539]","[0.821917808219178, 0.723404255319149]","[0.8823529411764706, 0.6538461538461539]"
Gradient Boosting,11,3,1.0,1.0,0.7791208791208792,0.3515009497434747,0.3335250143760783,0.5581395348837209,0.6588166028848985,0.6885245901639344,0.46153846153846156,0.8571428571428571,0.7058823529411765,0.6818181818181818,0.6593406593406593,"[0.6818181818181818, 0.7058823529411765]","[0.8571428571428571, 0.46153846153846156]","[0.759493670886076, 0.5581395348837209]","[0.8571428571428571, 0.46153846153846156]"
Gradient Boosting,12,3,1.0,1.0,0.7736263736263738,0.4254373564136538,0.40368027602070156,0.6046511627906976,0.694730644686488,0.7213114754098361,0.5,0.8857142857142857,0.7647058823529411,0.7045454545454546,0.6928571428571428,"[0.7045454545454546, 0.7647058823529411]","[0.8857142857142857, 0.5]","[0.7848101265822784, 0.6046511627906976]","[0.8857142857142857, 0.5]"
Gradient Boosting,13,3,1.0,1.0,0.8318681318681319,0.6298438669252061,0.6294864715626725,0.7843137254901961,0.8146920740127037,0.819672131147541,0.7692307692307693,0.8571428571428571,0.8,0.8333333333333334,0.8131868131868132,"[0.8333333333333334, 0.8]","[0.8571428571428571, 0.7692307692307693]","[0.8450704225352113, 0.7843137254901961]","[0.8571428571428571, 0.7692307692307693]"
Gradient Boosting,14,3,1.0,1.0,0.7076923076923077,0.2558589757343202,0.2552719200887902,0.56,0.6272222222222222,0.639344262295082,0.5384615384615384,0.7142857142857143,0.5833333333333334,0.6756756756756757,0.6263736263736264,"[0.6756756756756757, 0.5833333333333334]","[0.7142857142857143, 0.5384615384615384]","[0.6944444444444444, 0.56]","[0.7142857142857143, 0.5384615384615384]"
Gradient Boosting,15,3,1.0,1.0,0.745475113122172,0.2983840870147887,0.296875,0.6181818181818182,0.6475524475524476,0.65,0.6538461538461539,0.6470588235294118,0.5862068965517241,0.7096774193548387,0.6504524886877828,"[0.7096774193548387, 0.5862068965517241]","[0.6470588235294118, 0.6538461538461539]","[0.676923076923077, 0.6181818181818182]","[0.6470588235294118, 0.6538461538461539]"
Gradient Boosting,16,4,1.0,1.0,0.7791208791208791,0.35087226992607884,0.3403528742174161,0.5777777777777777,0.6655122655122655,0.6885245901639344,0.5,0.8285714285714286,0.6842105263157895,0.6904761904761905,0.6642857142857144,"[0.6904761904761905, 0.6842105263157895]","[0.8285714285714286, 0.5]","[0.7532467532467533, 0.5777777777777777]","[0.8285714285714286, 0.5]"
Gradient Boosting,17,4,1.0,1.0,0.7835164835164835,0.3522819383711917,0.34704225352112683,0.5957446808510638,0.6712056737588652,0.6885245901639344,0.5384615384615384,0.8,0.6666666666666666,0.7,0.6692307692307693,"[0.7, 0.6666666666666666]","[0.8, 0.5384615384615384]","[0.7466666666666667, 0.5957446808510638]","[0.8, 0.5384615384615384]"
Gradient Boosting,18,4,1.0,1.0,0.8054945054945055,0.45993464895278674,0.4416475972540046,0.6363636363636364,0.7156177156177156,0.7377049180327869,0.5384615384615384,0.8857142857142857,0.7777777777777778,0.7209302325581395,0.712087912087912,"[0.7209302325581395, 0.7777777777777778]","[0.8857142857142857, 0.5384615384615384]","[0.7948717948717948, 0.6363636363636364]","[0.8857142857142857, 0.5384615384615384]"
Gradient Boosting,19,4,1.0,1.0,0.767032967032967,0.4224549069344093,0.40978941377347755,0.6222222222222222,0.7007215007215007,0.7213114754098361,0.5384615384615384,0.8571428571428571,0.7368421052631579,0.7142857142857143,0.6978021978021978,"[0.7142857142857143, 0.7368421052631579]","[0.8571428571428571, 0.5384615384615384]","[0.7792207792207793, 0.6222222222222222]","[0.8571428571428571, 0.5384615384615384]"
Gradient Boosting,20,4,1.0,1.0,0.7296380090497737,0.25339366515837103,0.25339366515837103,0.5769230769230769,0.6266968325791855,0.6333333333333333,0.5769230769230769,0.6764705882352942,0.5769230769230769,0.6764705882352942,0.6266968325791855,"[0.6764705882352942, 0.5769230769230769]","[0.6764705882352942, 0.5769230769230769]","[0.6764705882352942, 0.5769230769230769]","[0.6764705882352942, 0.5769230769230769]"
Gradient Boosting,21,5,1.0,1.0,0.8351648351648352,0.49403754394273974,0.479225953329539,0.6666666666666666,0.7359307359307359,0.7540983606557377,0.5769230769230769,0.8857142857142857,0.7894736842105263,0.7380952380952381,0.7313186813186813,"[0.7380952380952381, 0.7894736842105263]","[0.8857142857142857, 0.5769230769230769]","[0.8051948051948052, 0.6666666666666666]","[0.8857142857142857, 0.5769230769230769]"
Gradient Boosting,22,5,1.0,1.0,0.7747252747252747,0.45721137323066513,0.452914798206278,0.6666666666666666,0.7252252252252251,0.7377049180327869,0.6153846153846154,0.8285714285714286,0.7272727272727273,0.7435897435897436,0.7219780219780221,"[0.7435897435897436, 0.7272727272727273]","[0.8285714285714286, 0.6153846153846154]","[0.7837837837837838, 0.6666666666666666]","[0.8285714285714286, 0.6153846153846154]"
Gradient Boosting,23,5,1.0,1.0,0.7824175824175824,0.31456670291071426,0.30205949656750575,0.5454545454545454,0.6445221445221445,0.6721311475409836,0.46153846153846156,0.8285714285714286,0.6666666666666666,0.6744186046511628,0.6450549450549451,"[0.6744186046511628, 0.6666666666666666]","[0.8285714285714286, 0.46153846153846156]","[0.7435897435897436, 0.5454545454545454]","[0.8285714285714286, 0.46153846153846156]"
