Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.7945054945054945,0.42763083596500834,0.4273881833241303,0.6666666666666666,0.7136150234741784,0.7213114754098361,0.6538461538461539,0.7714285714285715,0.68,0.75,0.7126373626373627,"[0.75, 0.68]","[0.7714285714285715, 0.6538461538461539]","[0.7605633802816901, 0.6666666666666666]","[0.7714285714285715, 0.6538461538461539]"
Gradient Boosting,2,1,1.0,1.0,0.7065934065934066,0.2997840524540494,0.299617277200656,0.6037735849056604,0.6497128794093519,0.6557377049180327,0.6153846153846154,0.6857142857142857,0.5925925925925926,0.7058823529411765,0.6505494505494506,"[0.7058823529411765, 0.5925925925925926]","[0.6857142857142857, 0.6153846153846154]","[0.6956521739130435, 0.6037735849056604]","[0.6857142857142857, 0.6153846153846154]"
Gradient Boosting,3,1,1.0,1.0,0.7934065934065935,0.3881769827181142,0.3845291479820627,0.625,0.6908783783783784,0.7049180327868853,0.5769230769230769,0.8,0.6818181818181818,0.717948717948718,0.6884615384615385,"[0.717948717948718, 0.6818181818181818]","[0.8, 0.5769230769230769]","[0.7567567567567568, 0.625]","[0.8, 0.5769230769230769]"
Gradient Boosting,4,1,1.0,1.0,0.7747252747252747,0.3967032967032967,0.3967032967032966,0.6538461538461539,0.6983516483516483,0.7049180327868853,0.6538461538461539,0.7428571428571429,0.6538461538461539,0.7428571428571429,0.6983516483516483,"[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]","[0.7428571428571429, 0.6538461538461539]"
Gradient Boosting,5,1,1.0,1.0,0.7047511312217194,0.30917347120042116,0.3023255813953488,0.5652173913043478,0.6474735605170387,0.6666666666666666,0.5,0.7941176470588235,0.65,0.675,0.6470588235294117,"[0.675, 0.65]","[0.7941176470588235, 0.5]","[0.7297297297297297, 0.5652173913043478]","[0.7941176470588235, 0.5]"
Gradient Boosting,6,2,1.0,1.0,0.7714285714285715,0.31741005549570805,0.3131367292225201,0.631578947368421,0.654251012145749,0.6557377049180327,0.6923076923076923,0.6285714285714286,0.5806451612903226,0.7333333333333333,0.6604395604395604,"[0.7333333333333333, 0.5806451612903226]","[0.6285714285714286, 0.6923076923076923]","[0.676923076923077, 0.631578947368421]","[0.6285714285714286, 0.6923076923076923]"
Gradient Boosting,7,2,1.0,1.0,0.7010989010989012,0.14297156589739923,0.14084507042253525,0.46808510638297873,0.5673758865248226,0.5901639344262295,0.4230769230769231,0.7142857142857143,0.5238095238095238,0.625,0.5686813186813187,"[0.625, 0.5238095238095238]","[0.7142857142857143, 0.4230769230769231]","[0.6666666666666666, 0.46808510638297873]","[0.7142857142857143, 0.4230769230769231]"
Gradient Boosting,8,2,1.0,1.0,0.8384615384615385,0.3967388521738314,0.35864485981308414,0.55,0.6652439024390244,0.7049180327868853,0.4230769230769231,0.9142857142857143,0.7857142857142857,0.6808510638297872,0.6686813186813186,"[0.6808510638297872, 0.7857142857142857]","[0.9142857142857143, 0.4230769230769231]","[0.7804878048780488, 0.55]","[0.9142857142857143, 0.4230769230769231]"
Gradient Boosting,9,2,1.0,1.0,0.721978021978022,0.2997840524540494,0.299617277200656,0.6037735849056604,0.6497128794093519,0.6557377049180327,0.6153846153846154,0.6857142857142857,0.5925925925925926,0.7058823529411765,0.6505494505494506,"[0.7058823529411765, 0.5925925925925926]","[0.6857142857142857, 0.6153846153846154]","[0.6956521739130435, 0.6037735849056604]","[0.6857142857142857, 0.6153846153846154]"
Gradient Boosting,10,2,1.0,1.0,0.8110859728506788,0.5570706251171438,0.548611111111111,0.723404255319149,0.7726610317691636,0.7833333333333333,0.6538461538461539,0.8823529411764706,0.8095238095238095,0.7692307692307693,0.7680995475113122,"[0.7692307692307693, 0.8095238095238095]","[0.8823529411764706, 0.6538461538461539]","[0.821917808219178, 0.723404255319149]","[0.8823529411764706, 0.6538461538461539]"
Gradient Boosting,11,3,1.0,1.0,0.7395604395604395,0.3515009497434747,0.3335250143760783,0.5581395348837209,0.6588166028848985,0.6885245901639344,0.46153846153846156,0.8571428571428571,0.7058823529411765,0.6818181818181818,0.6593406593406593,"[0.6818181818181818, 0.7058823529411765]","[0.8571428571428571, 0.46153846153846156]","[0.759493670886076, 0.5581395348837209]","[0.8571428571428571, 0.46153846153846156]"
Gradient Boosting,12,3,1.0,1.0,0.7725274725274724,0.3515009497434747,0.3335250143760783,0.5581395348837209,0.6588166028848985,0.6885245901639344,0.46153846153846156,0.8571428571428571,0.7058823529411765,0.6818181818181818,0.6593406593406593,"[0.6818181818181818, 0.7058823529411765]","[0.8571428571428571, 0.46153846153846156]","[0.759493670886076, 0.5581395348837209]","[0.8571428571428571, 0.46153846153846156]"
Gradient Boosting,13,3,1.0,1.0,0.8329670329670329,0.4594337259924967,0.45837957824639286,0.68,0.7288888888888889,0.7377049180327869,0.6538461538461539,0.8,0.7083333333333334,0.7567567567567568,0.726923076923077,"[0.7567567567567568, 0.7083333333333334]","[0.8, 0.6538461538461539]","[0.7777777777777778, 0.68]","[0.8, 0.6538461538461539]"
