Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.8055555555555555,0.4434751717066333,0.44131455399061037,0.6666666666666666,0.72,0.7301587301587301,0.6296296296296297,0.8055555555555556,0.7083333333333334,0.7435897435897436,0.7175925925925926,"[0.7435897435897436, 0.7083333333333334]","[0.8055555555555556, 0.6296296296296297]","[0.7733333333333333, 0.6666666666666666]","[0.8055555555555556, 0.6296296296296297]"
Gradient Boosting,2,1,1.0,1.0,0.771604938271605,0.4166666666666667,0.41666666666666663,0.6666666666666666,0.7083333333333333,0.7142857142857143,0.6666666666666666,0.75,0.6666666666666666,0.75,0.7083333333333333,"[0.75, 0.6666666666666666]","[0.75, 0.6666666666666666]","[0.75, 0.6666666666666666]","[0.75, 0.6666666666666666]"
Gradient Boosting,3,1,1.0,1.0,0.7806652806652807,0.40467443029011024,0.40378548895899047,0.64,0.7015789473684211,0.7142857142857143,0.6153846153846154,0.7837837837837838,0.6666666666666666,0.7435897435897436,0.6995841995841996,"[0.7435897435897436, 0.6666666666666666]","[0.7837837837837838, 0.6153846153846154]","[0.7631578947368421, 0.64]","[0.7837837837837838, 0.6153846153846154]"
Gradient Boosting,4,1,1.0,1.0,0.7058212058212058,0.30858348347958914,0.3084161003659174,0.5882352941176471,0.6541176470588235,0.6666666666666666,0.5769230769230769,0.7297297297297297,0.6,0.7105263157894737,0.6533264033264032,"[0.7105263157894737, 0.6]","[0.7297297297297297, 0.5769230769230769]","[0.72, 0.5882352941176471]","[0.7297297297297297, 0.5769230769230769]"
Gradient Boosting,5,1,1.0,1.0,0.8194444444444445,0.47671203391961386,0.4756871035940803,0.7037037037037037,0.7375661375661375,0.7419354838709677,0.7307692307692307,0.75,0.6785714285714286,0.7941176470588235,0.7403846153846154,"[0.7941176470588235, 0.6785714285714286]","[0.75, 0.7307692307692307]","[0.7714285714285715, 0.7037037037037037]","[0.75, 0.7307692307692307]"
Gradient Boosting,6,2,1.0,1.0,0.7222222222222222,0.3748613934530363,0.3696682464454977,0.6122448979591837,0.6827458256029685,0.6984126984126984,0.5555555555555556,0.8055555555555556,0.6818181818181818,0.7073170731707317,0.6805555555555556,"[0.7073170731707317, 0.6818181818181818]","[0.8055555555555556, 0.5555555555555556]","[0.7532467532467533, 0.6122448979591837]","[0.8055555555555556, 0.5555555555555556]"
Gradient Boosting,7,2,1.0,1.0,0.7242798353909465,0.2512960169793548,0.25116279069767444,0.5660377358490566,0.6254846213491858,0.6349206349206349,0.5555555555555556,0.6944444444444444,0.5769230769230769,0.6756756756756757,0.625,"[0.6756756756756757, 0.5769230769230769]","[0.6944444444444444, 0.5555555555555556]","[0.684931506849315, 0.5660377358490566]","[0.6944444444444444, 0.5555555555555556]"
Gradient Boosting,8,2,1.0,1.0,0.8440748440748441,0.4358152340106846,0.43363299841353786,0.6530612244897959,0.7161410018552876,0.7301587301587301,0.6153846153846154,0.8108108108108109,0.6956521739130435,0.75,0.7130977130977132,"[0.75, 0.6956521739130435]","[0.8108108108108109, 0.6153846153846154]","[0.7792207792207793, 0.6530612244897959]","[0.8108108108108109, 0.6153846153846154]"
Gradient Boosting,9,2,1.0,1.0,0.8232848232848233,0.5062861220478683,0.5060115002613695,0.7058823529411765,0.7529411764705882,0.7619047619047619,0.6923076923076923,0.8108108108108109,0.72,0.7894736842105263,0.7515592515592515,"[0.7894736842105263, 0.72]","[0.8108108108108109, 0.6923076923076923]","[0.8, 0.7058823529411765]","[0.8108108108108109, 0.6923076923076923]"
Gradient Boosting,10,2,1.0,1.0,0.8247863247863249,0.4479937584330381,0.4458464773922187,0.6909090909090909,0.722266139657444,0.7258064516129032,0.7307692307692307,0.7222222222222222,0.6551724137931034,0.7878787878787878,0.7264957264957265,"[0.7878787878787878, 0.6551724137931034]","[0.7222222222222222, 0.7307692307692307]","[0.7536231884057971, 0.6909090909090909]","[0.7222222222222222, 0.7307692307692307]"
Gradient Boosting,11,3,1.0,1.0,0.8179012345679012,0.3748613934530363,0.3696682464454977,0.6122448979591837,0.6827458256029685,0.6984126984126984,0.5555555555555556,0.8055555555555556,0.6818181818181818,0.7073170731707317,0.6805555555555556,"[0.7073170731707317, 0.6818181818181818]","[0.8055555555555556, 0.5555555555555556]","[0.7532467532467533, 0.6122448979591837]","[0.8055555555555556, 0.5555555555555556]"
Gradient Boosting,12,3,1.0,1.0,0.8539094650205762,0.680303396501453,0.6788990825688074,0.8214285714285714,0.8392857142857142,0.8412698412698413,0.8518518518518519,0.8333333333333334,0.7931034482758621,0.8823529411764706,0.8425925925925926,"[0.8823529411764706, 0.7931034482758621]","[0.8333333333333334, 0.8518518518518519]","[0.8571428571428571, 0.8214285714285714]","[0.8333333333333334, 0.8518518518518519]"
Gradient Boosting,13,3,1.0,1.0,0.683991683991684,0.22349054778228306,0.2230215827338129,0.5555555555555556,0.6111111111111112,0.6190476190476191,0.5769230769230769,0.6486486486486487,0.5357142857142857,0.6857142857142857,0.6127858627858628,"[0.6857142857142857, 0.5357142857142857]","[0.6486486486486487, 0.5769230769230769]","[0.6666666666666666, 0.5555555555555556]","[0.6486486486486487, 0.5769230769230769]"
Gradient Boosting,14,3,1.0,1.0,0.6704781704781705,0.2446552439340187,0.24020100502512565,0.5862068965517241,0.6166328600405679,0.6190476190476191,0.6538461538461539,0.5945945945945946,0.53125,0.7096774193548387,0.6242203742203742,"[0.7096774193548387, 0.53125]","[0.5945945945945946, 0.6538461538461539]","[0.6470588235294118, 0.5862068965517241]","[0.5945945945945946, 0.6538461538461539]"
Gradient Boosting,15,3,1.0,1.0,0.8878205128205128,0.6329856254359926,0.6297502714440826,0.7755102040816326,0.8144217687074831,0.8225806451612904,0.7307692307692307,0.8888888888888888,0.8260869565217391,0.8205128205128205,0.8098290598290598,"[0.8205128205128205, 0.8260869565217391]","[0.8888888888888888, 0.7307692307692307]","[0.8533333333333334, 0.7755102040816326]","[0.8888888888888888, 0.7307692307692307]"
Gradient Boosting,16,4,1.0,1.0,0.7448559670781892,0.3164468361962245,0.3162790697674419,0.6037735849056604,0.658051176014474,0.6666666666666666,0.5925925925925926,0.7222222222222222,0.6153846153846154,0.7027027027027027,0.6574074074074074,"[0.7027027027027027, 0.6153846153846154]","[0.7222222222222222, 0.5925925925925926]","[0.7123287671232876, 0.6037735849056604]","[0.7222222222222222, 0.5925925925925926]"
Gradient Boosting,17,4,1.0,1.0,0.7109053497942387,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.6111111111111112,0.6190476190476191,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6111111111111112,"[0.6666666666666666, 0.5555555555555556]","[0.6666666666666666, 0.5555555555555556]","[0.6666666666666666, 0.5555555555555556]","[0.6666666666666666, 0.5555555555555556]"
